title,link,summary,published,source,category,priority,guid,author,tags,id
Evolution Mining CEO on Record FY Earnings,https://www.bloomberg.com/news/videos/2025-08-13/evolution-mining-ceo-on-record-fy-earnings-video,"Lawrie Conway, CEO and Managing Director of Australia's second largest gold miner, Evolution Mining, discusses his outlook for business growth and strategy as the company reported full-year profit of A$926 million, boosted by a surge in gold prices. He says the company looking to boost its exposure to copper. He speaks exclusively with Paul Allen and Avril Hong on ""Bloomberg: The Asia Trade"". (Source: Bloomberg)",2025-08-13 03:17:06,Bloomberg Markets,general_financial,1,https://www.bloomberg.com/news/videos/2025-08-13/evolution-mining-ceo-on-record-fy-earnings-video,,[],11342
Elliott Affiliate Makes Last-Minute $8.82 Billion Bid for Citgo,https://www.bloomberg.com/news/articles/2025-08-13/citgo-auction-latest-elliott-affiliate-makes-8-82-billion-bid,"An Elliott Investment Management affiliate submitted a last-minute bid in the court-ordered auction for Citgo Petroleum Corp.’s parent, according to a letter filed in Delaware legal proceedings.",2025-08-13 03:12:24,Bloomberg Markets,general_financial,1,https://www.bloomberg.com/news/articles/2025-08-13/citgo-auction-latest-elliott-affiliate-makes-8-82-billion-bid,Nicolle Yapur,[],98784
India’s Public Sector Banks Catch Up With Private Lenders After Four Years,https://www.bloomberg.com/news/articles/2025-08-13/india-market-buzz-macro-softens-state-lenders-close-the-gap,Before the trading day starts we bring you a digest of the key news and events that are likely to move markets. Today we look at:,2025-08-13 02:44:59,Bloomberg Markets,general_financial,1,https://www.bloomberg.com/news/articles/2025-08-13/india-market-buzz-macro-softens-state-lenders-close-the-gap,Ashutosh Joshi,[],78816
"Amazon is selling noise-canceling headphones for only $45, and the battery life is 'outstanding'",https://www.thestreet.com/deals/soundcore-by-anker-q20i-noise-canceling-wireless-headphones-amazon-sale,"They ""deliver rich, balanced sound with impressive bass.""",2025-08-13 02:30:00,TheStreet,investing_markets,1,https://www.thestreet.com/deals/soundcore-by-anker-q20i-noise-canceling-wireless-headphones-amazon-sale,Pauline Lacsamana,"[{'term': 'Commerce', 'scheme': None, 'label': None}, {'term': 'Savings', 'scheme': None, 'label': None}, {'term': 'Deals', 'scheme': None, 'label': None}, {'term': 'Electronics', 'scheme': None, 'label': None}, {'term': 'Commerce Deal', 'scheme': None, 'label': None}, {'term': 'Headphones', 'scheme': None, 'label': None}, {'term': 'Amazon', 'scheme': None, 'label': None}, {'term': 'Deals & Bargains News', 'scheme': None, 'label': None}, {'term': 'Shopping', 'scheme': None, 'label': None}]",42731
Taiwan’s Stock Index Set for Record High as AI Optimism Expands,https://www.bloomberg.com/news/articles/2025-08-13/taiwan-s-stock-index-set-for-record-high-as-ai-optimism-expands,"Taiwanese shares are on track for a record high, buoyed by a strong outlook for artificial intelligence and exemption from some US tariffs for major chip makers.",2025-08-13 02:26:53,Bloomberg Markets,general_financial,1,https://www.bloomberg.com/news/articles/2025-08-13/taiwan-s-stock-index-set-for-record-high-as-ai-optimism-expands,Jeanny Yu,[],61263
Carlyle-Backed Orion Breweries Said to Plan Tokyo IPO Next Month,https://www.bloomberg.com/news/articles/2025-08-13/carlyle-backed-orion-breweries-said-to-plan-tokyo-ipo-next-month,"Japanese beer maker Orion Breweries Ltd. is planning its listing in Tokyo as early as next month, according to people familiar with the matter, six years after Carlyle Group Inc. and Nomura Holdings Inc. bought the company.",2025-08-13 02:23:13,Bloomberg Markets,general_financial,1,https://www.bloomberg.com/news/articles/2025-08-13/carlyle-backed-orion-breweries-said-to-plan-tokyo-ipo-next-month,"Takahiko Hyuga, Yasutaka Tamura",[],62185
Taylor Swift’s last record made up more than 6% of all album sales in 2024. Will ‘The Life of a Showgirl’ do even better?,https://www.marketwatch.com/story/taylor-swifts-last-record-made-up-more-than-6-of-all-album-sales-in-2024-will-the-life-of-a-showgirl-do-even-better-3756ca28?mod=mw_rss_topstories,"Sales of Swift’s albums drive the fortunes of the entire music industry, as her catalog continues to dominate streaming lists all over the world.",2025-08-13 02:01:00,MarketWatch Top Stories,general_financial,1,WP-MKTW-0004381792,Lukas I. Alpert,[],48981
Australians Fall Behind on Power Bills as Cost Pressures Persist,https://www.bloomberg.com/news/articles/2025-08-13/australians-fall-behind-on-power-bills-as-cost-pressures-persist,"More Australian households are falling behind on their power bills, according to one of the nation’s biggest energy retailers, highlighting lingering cost-of-living pressures in the economy.",2025-08-13 01:51:07,Bloomberg Markets,general_financial,1,https://www.bloomberg.com/news/articles/2025-08-13/australians-fall-behind-on-power-bills-as-cost-pressures-persist,"Keira Wright, Swati Pandey",[],26614
"Japan Starts Anti-Dumping Probe Into Chinese, Korean Steel Goods",https://www.bloomberg.com/news/articles/2025-08-13/japan-starts-anti-dumping-probe-into-chinese-korean-steel-goods,"Japan will begin an anti-dumping probe into some Chinese and South Korean steel goods, the latest effort by the nation to protect local producers against a wave of imports of the alloy.",2025-08-13 01:42:27,Bloomberg Markets,general_financial,1,https://www.bloomberg.com/news/articles/2025-08-13/japan-starts-anti-dumping-probe-into-chinese-korean-steel-goods,"Shoko Oda, Tsuyoshi Inajima",[],99728
Battle for control of $7 billion grocery retailer ramps amid allegations,https://www.thestreet.com/retail/battle-for-control-of-7-billion-grocery-retailer-ramps-amid-allegations,The 95-store family-run grocery chain is embroiled in a hostile family feud.,2025-08-13 01:37:54,TheStreet,investing_markets,1,https://www.thestreet.com/retail/battle-for-control-of-7-billion-grocery-retailer-ramps-amid-allegations,Todd Campbell - Co-Editor-in-Chief,"[{'term': 'Food', 'scheme': None, 'label': None}, {'term': 'Shopping', 'scheme': None, 'label': None}, {'term': 'Grocery', 'scheme': None, 'label': None}, {'term': 'Retail', 'scheme': None, 'label': None}, {'term': 'Retail, Shopping Malls, Chain Stores News & Analysis', 'scheme': None, 'label': None}, {'term': 'Food & Staples Retail', 'scheme': None, 'label': None}]",86100
